,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
4952,4952,Suite-Pee,spotify:track:1qGmxIGEuBEkj7bft72Kh0,1qGmxIGEuBEkj7bft72Kh0,System Of A Down,1986,0.263,0.89,0,1,0.0022,0.00348,190.389,0.286,0.177,-2.913,party
4805,6397,Merry Go 'Round,spotify:track:5UDqWOgDdixYMAgAyNbpgh,5UDqWOgDdixYMAgAyNbpgh,Kacey Musgraves,1988,0.6509999999999999,0.466,6,1,0.541,0.0027,86.95299999999999,0.326,0.0305,-9.402999999999999,sad
1324,1659,Forever More,spotify:track:4aNJs2XjkDFo5o1obQKCZ4,4aNJs2XjkDFo5o1obQKCZ4,Two Steps from Hell,644,0.379,0.429,9,0,0.36,0.6990000000000001,119.023,0.062,0.0329,-8.293,sad
208,244,Youth,spotify:track:4AmcmraFjVzFb9SQDNTRyl,4AmcmraFjVzFb9SQDNTRyl,Daughter,115,0.4,0.525,0,1,0.887,0.00543,146.977,0.408,0.0435,-11.294,sad
1302,1460,Leave Me In The Dark,spotify:track:70SjQ2IcK7rMBjs3JIV21c,70SjQ2IcK7rMBjs3JIV21c,cxleb,550,0.7559999999999999,0.585,9,0,0.331,0.0,174.095,0.156,0.0524,-5.245,angry
428,448,Knotty Head,spotify:track:3DaXXVRXK7sWRNEugMe7s6,3DaXXVRXK7sWRNEugMe7s6,Denzel Curry,42,0.69,0.8590000000000001,2,1,0.24,2.18e-06,157.95600000000002,0.348,0.17300000000000001,-3.44,angry
2422,3011,Fashionably Late,spotify:track:5JUufCEin0aXyFLXCzJbUL,5JUufCEin0aXyFLXCzJbUL,Falling In Reverse,105,0.675,0.97,8,1,0.00777,0.0,106.973,0.568,0.0613,-2.164,angry
2589,3221,Savage (Nightcore Remix),spotify:track:3Lr5In46gkpTLh3qdB1pZ5,3Lr5In46gkpTLh3qdB1pZ5,Bahari,992,0.747,0.457,4,0,0.8859999999999999,0.0,105.038,0.439,0.0556,-7.005,angry
2857,3549,Should I Stay or Should I Go - Remastered,spotify:track:39shmbIHICJ2Wxnk1fPSdz,39shmbIHICJ2Wxnk1fPSdz,The Clash,1086,0.742,0.833,2,1,0.079,0.0,113.375,0.816,0.115,-6.462999999999999,angry
1268,1268,AERO (Blow The Whistle),spotify:track:7ye6R0TbNFVuVdLHhlxLlE,7ye6R0TbNFVuVdLHhlxLlE,TisaKorean,606,0.84,0.25,1,1,0.00156,0,145.88,0.282,0.35,-10.773,party
2,2,Heartbreak,spotify:track:6mnnaeM6xHvwWwev8PoaBf,6mnnaeM6xHvwWwev8PoaBf,Lil DeadBoy,0,0.444,0.585,4,0,0.7440000000000001,0.0,75.26100000000001,0.28,0.0638,-8.41,sad
1241,1576,Chocolate y Nata,spotify:track:5RvD2guZK6n19KEK0ymL5f,5RvD2guZK6n19KEK0ymL5f,Carlos Sadness,636,0.731,0.555,1,0,0.486,0.00255,129.96,0.513,0.0303,-7.2410000000000005,sad
4233,5638,Base Line,spotify:track:464jQiBOieEQBuo48qnPJl,464jQiBOieEQBuo48qnPJl,j-hope,1885,0.909,0.644,9,1,0.0376,0.0111,94.98200000000001,0.228,0.203,-5.32,sad
646,687,Love The Way You Lie,spotify:track:15JINEqzVMv3SvJTAXAKED,15JINEqzVMv3SvJTAXAKED,Eminem,23,0.7490000000000001,0.925,10,1,0.24100000000000002,0.0,86.98899999999999,0.6409999999999999,0.22699999999999998,-5.034,angry
2306,2306,Zoomer,spotify:track:4QcqXiuMw6pEzhp9yvqYwf,4QcqXiuMw6pEzhp9yvqYwf,Les Jumo,1044,0.674,0.891,9,0,0.304,0,128.012,0.927,0.0774,-5.116,party
5593,5593,Amarillo Sky,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0axUHkhMMY0YSC1jFBVWqv,Jason Aldean,1901,0.491,0.776,2,1,0.314,0,154.988,0.428,0.0393,-3.887,party
2530,3130,Little Rain,spotify:track:51T2SPBH4YjbrFJE94NJT6,51T2SPBH4YjbrFJE94NJT6,Morgan Wallen,263,0.491,0.835,1,1,0.184,0.0,185.956,0.711,0.0464,-4.272,angry
2010,2622,Colour Me In,spotify:track:5KE5vhj2eZnmbkdHwWMhU9,5KE5vhj2eZnmbkdHwWMhU9,Rea Garvey,996,0.6779999999999999,0.733,6,1,0.187,0.000193,119.984,0.847,0.0353,-6.478,sad
1054,1155,Hollow Bodies,spotify:track:6CnqEMkpDvlqXlJpyqMgXO,6CnqEMkpDvlqXlJpyqMgXO,blessthefall,423,0.345,0.9690000000000001,8,1,2.7600000000000003e-05,0.35200000000000004,153.781,0.159,0.15,-2.55,angry
9513,9513,Rakata,spotify:track:1kQqiC1rS1FiuVpeBKN0QN,1kQqiC1rS1FiuVpeBKN0QN,Wisin & Yandel,2737,0.872,0.786,1,1,0.0348,0,96.002,0.722,0.142,-5.473,party
3328,4316,Lunchbox,spotify:track:5g9nOdHwMmlVBeZMcuZwLX,5g9nOdHwMmlVBeZMcuZwLX,Marilyn Manson,1563,0.425,0.961,9,1,0.00504,0.301,168.356,0.249,0.243,-4.572,sad
1338,1596,We Are Never Ever Getting Back Together,spotify:track:1OYARuagDrpgNNQ4loO1Cs,1OYARuagDrpgNNQ4loO1Cs,Taylor Swift,191,0.628,0.6759999999999999,7,1,0.00957,2.65e-05,85.984,0.75,0.0916,-5.9110000000000005,angry
1277,1612,Moonsong,spotify:track:2jw7rDos3bc6xtgx9ALjCs,2jw7rDos3bc6xtgx9ALjCs,Adrian Von Ziegler,642,0.414,0.153,3,0,0.986,0.9309999999999999,150.214,0.125,0.0298,-16.83,sad
3243,4198,Alive And Kicking,spotify:track:3yD272quA0vqP500G8qEX5,3yD272quA0vqP500G8qEX5,Simple Minds,1099,0.602,0.6940000000000001,0,1,0.153,0.000207,103.105,0.619,0.0313,-11.337,sad
6145,6145,Dope,spotify:track:4TiKZrN7gtc62SUiufpFCM,4TiKZrN7gtc62SUiufpFCM,BTS,2389,0.579,0.896,10,0,0.0272,1.02e-06,153.991,0.678,0.224,-2.781,party
1249,1584,Clorofila,spotify:track:0rxm3LER8haw0ZwCIRp9sx,0rxm3LER8haw0ZwCIRp9sx,Carlos Sadness,636,0.722,0.335,10,1,0.9470000000000001,0.000215,123.979,0.812,0.0341,-13.83,sad
4617,4617,Who Dat Girl (feat. Akon),spotify:track:7z73ehYAn9O1XP9XlCqVtd,7z73ehYAn9O1XP9XlCqVtd,Flo Rida,93,0.719,0.616,1,1,0.00683,3.11e-05,124.963,0.625,0.0395,-3.951,party
4351,5803,Roller Coaster,spotify:track:3ILGL3S1iY95x6JN5wMBTM,3ILGL3S1iY95x6JN5wMBTM,"Blood, Sweat & Tears",1899,0.612,0.7120000000000001,0,1,0.474,0.0448,96.803,0.747,0.0769,-10.929,sad
920,1149,House of Woodcock,spotify:track:6FZDedaCzYhO4sdG3VYcHZ,6FZDedaCzYhO4sdG3VYcHZ,Jonny Greenwood,508,0.253,0.126,2,0,0.9670000000000001,0.858,67.171,0.0355,0.0377,-17.009,sad
1201,1357,Thrown Away,spotify:track:52Qj6lxxHdKtzhvNxttlkH,52Qj6lxxHdKtzhvNxttlkH,Stealing Eden,477,0.18100000000000002,0.922,5,0,0.00018899999999999999,9.13e-06,169.99099999999999,0.419,0.14300000000000002,-3.781,angry
439,459,Curse,spotify:track:5BYCMWNQqz4nqErN1ReRGL,5BYCMWNQqz4nqErN1ReRGL,Bass Santana,239,0.556,0.64,11,1,0.552,0.0,88.399,0.703,0.445,-7.504,angry
