,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label,artist
4684,Lonely,spotify:track:4VhdCS7iCaYM81NZaeA72I,4VhdCS7iCaYM81NZaeA72I,0.696,0.921,5,1,0.0947,1.85e-05,123.988,0.721,0.0424,-4.283,party,Joel Corry
4685,I Know,spotify:track:59jHH3RyODRyVPCgpM106o,59jHH3RyODRyVPCgpM106o,0.6,0.873,10,0,0.0009,0.00102,122.045,0.295,0.0795,-4.773,party,DallasK
4686,Dance Monkey,spotify:track:1rgnBhdG2JDFTbYkYRZAku,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,0,0.688,0.000161,98.078,0.54,0.0988,-6.401,party,Tones And I
4687,All Day And Night - Jax Jones & Martin Solveig Present Europa,spotify:track:11o2y87vqODipLK98a1v34,11o2y87vqODipLK98a1v34,0.585,0.782,1,0,0.269,0,121.908,0.521,0.0897,-4.101,party,Jax Jones
4688,This Is Real (ft. Ella Henderson),spotify:track:1pRShUtGOG6ZP5fsnw9G4h,1pRShUtGOG6ZP5fsnw9G4h,0.684,0.819,6,1,0.0259,0.0775,122.008,0.607,0.0413,-5.072,party,Jax Jones
4689,My Type,spotify:track:5KBARWIxeMGkvUax9VtVC9,5KBARWIxeMGkvUax9VtVC9,0.899,0.811,2,1,0.000677,0,105.038,0.587,0.258,-6.294,party,Saweetie
4690,Virgil Discount,spotify:track:3uiP1IGKCGDIbazxYmn0jx,3uiP1IGKCGDIbazxYmn0jx,0.901,0.746,1,1,0.374,0.00386,118.021,0.748,0.29,-5.414,party,T.R.U.
4691,Be Ok,spotify:track:5IiCTrv2CVarZaaCAz74yO,5IiCTrv2CVarZaaCAz74yO,0.587,0.738,1,1,0.0388,9.1e-06,157.85,0.385,0.218,-4.358,party,Party Favor
4692,Futsal Shuffle 2020,spotify:track:2Ec33AVlkTTq8BHFgBTdQs,2Ec33AVlkTTq8BHFgBTdQs,0.881,0.457,7,0,0.0327,0,136.97,0.296,0.156,-8.191,party,Lil Uzi Vert
4693,Bandit (with YoungBoy Never Broke Again),spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,0,0.0687,0,180.051,0.425,0.343,-5.884,party,Juice WRLD
4694,Post Malone (feat. RANI) - Joe Stone Remix,spotify:track:43XVdVydjpHCCGMrsjc785,43XVdVydjpHCCGMrsjc785,0.721,0.879,7,1,0.223,0.00214,125.985,0.653,0.231,-2.191,party,Sam Feldt
4695,Money In The Grave (Drake ft. Rick Ross),spotify:track:5ry2OE6R2zPQFDO85XkgRb,5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,10,0,0.101,0,100.541,0.101,0.046,-4.045,party,Drake
4696,Go Somewhere,spotify:track:71rHHK9L22rVdmofJTjuSd,71rHHK9L22rVdmofJTjuSd,0.706,0.78,0,1,0.0105,0,124.022,0.677,0.154,-5.588,party,KREAM
4697,Don't Wanna Dance,spotify:track:6b56B8Ew3d0WDnd4Vq01Gh,6b56B8Ew3d0WDnd4Vq01Gh,0.797,0.827,5,1,0.0334,0.101,121.979,0.68,0.0418,-5.607,party,Boston Bun
4698,Heartless,spotify:track:57vxBYXtHMk6H1aD29V7PU,57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,0,0.00632,7.6e-05,169.954,0.198,0.111,-5.831,party,The Weeknd
4699,Suge,spotify:track:2gwkD6igEhQbDQegRCcdoB,2gwkD6igEhQbDQegRCcdoB,0.876,0.662,2,0,0.0608,0,75.445,0.844,0.426,-6.482,party,DaBaby
4700,Good as Hell,spotify:track:2gzAuNf6GjNiu51sDiEz2R,2gzAuNf6GjNiu51sDiEz2R,0.502,0.907,5,0,0.257,0,191.842,0.485,0.177,-3.272,party,Lizzo
4701,Ransom,spotify:track:1kBbgxAUc4HQv7cgIayIDH,1kBbgxAUc4HQv7cgIayIDH,0.745,0.642,7,0,0.0204,0,179.974,0.226,0.287,-6.257,party,Lil Tecca
4702,Truth Hurts,spotify:track:5qmq61DAAOUaW8AUo8xKhh,5qmq61DAAOUaW8AUo8xKhh,0.715,0.624,4,0,0.11,0,158.087,0.412,0.114,-3.046,party,Lizzo
4703,Panini,spotify:track:2pmhboG1a2XfDiTvMwO8sd,2pmhboG1a2XfDiTvMwO8sd,0.703,0.594,5,0,0.342,0,153.848,0.475,0.0752,-6.146,party,Lil Nas X
4704,God's Plan,spotify:track:2XW4DbS6NddZxRPm5rMCeY,2XW4DbS6NddZxRPm5rMCeY,0.758,0.448,7,1,0.0309,8.67e-05,77.176,0.373,0.103,-9.441,party,Drake
4705,Sugar (feat. Francesco Yates),spotify:track:5tf1VVWniHgryyumXyJM7w,5tf1VVWniHgryyumXyJM7w,0.636,0.815,5,0,0.0185,0,123.063,0.636,0.0581,-5.098,party,Robin Schulz
4706,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",spotify:track:5w8wL9IpVlOerzOzOvkjvG,5w8wL9IpVlOerzOzOvkjvG,0.785,0.726,2,1,0.0739,4.01e-06,119.963,0.181,0.0387,-4.209,party,DJ Snake
4707,Don't Call Me Up,spotify:track:5WHTFyqSii0lmT9R21abT8,5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,1,0.296,3.01e-06,98.994,0.234,0.147,-2.853,party,Mabel
4708,Giant (with Rag'n'Bone Man),spotify:track:5itOtNx0WxtJmi1TQ3RuRd,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,1,0,0.016,0.000503,122.015,0.606,0.0361,-4.311,party,Calvin Harris
4709,This Girl (Kungs Vs. Cookin' On 3 Burners),spotify:track:1A8j067qyiNwQnZT0bzUpZ,1A8j067qyiNwQnZT0bzUpZ,0.792,0.717,0,0,0.0927,3.59e-05,121.985,0.466,0.0393,-4.759,party,Kungs
4710,Wow.,spotify:track:6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,0.833,0.539,11,0,0.163,2.1e-06,99.947,0.385,0.178,-7.399,party,Post Malone
4711,Old Town Road,spotify:track:53CJANUxooaqGOtdsBTh7O,53CJANUxooaqGOtdsBTh7O,0.908,0.517,1,1,0.0361,1.73e-06,136.019,0.471,0.129,-6.063,party,Lil Nas X
