,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
3178,Hold On To The Vision - Orig '85,spotify:track:63k9gIrlrg1o5eY4ymiKIo,63k9gIrlrg1o5eY4ymiKIo,Frank Harris,1358,0.639,0.683,0,0,0.0335,0,142.822,0.702,0.0374,-10.504,sex
3179,Conquest,spotify:track:1tTIw9qDhP5yoKdeaB53kh,1tTIw9qDhP5yoKdeaB53kh,Bill Conti,1329,0.275,0.438,4,0,0.363,0.926,112.612,0.175,0.0728,-16.191,sex
3180,Bout to Turn It Up,spotify:track:5eDJn6iK5q1kPuSd2pFdsg,5eDJn6iK5q1kPuSd2pFdsg,Sosa Timbro,1359,0.68,0.348,1,1,0.843,0.00279,101.02,0.126,0.083,-11.287,sex
3181,Sex for Inclusive Illness (Down),spotify:track:5EngEfyL0RzcnExWbnY41B,5EngEfyL0RzcnExWbnY41B,Nicky Deon,1360,0.506,0.474,8,0,0.0811,0,130.024,0.331,0.14,-8.069,sex
3182,Brother's Keeper,spotify:track:5mTW4CTZ2SV44hI6uUJJIX,5mTW4CTZ2SV44hI6uUJJIX,Canon,1361,0.684,0.626,7,0,0.188,0,154.99,0.621,0.31,-9.177,sex
3183,By the Way,spotify:track:5kqRgCxJHjqdGmcnXPN7rv,5kqRgCxJHjqdGmcnXPN7rv,Nate Brady,1362,0.457,0.627,0,1,0.498,0,170.515,0.666,0.404,-8.586,sex
3184,Sns(Skinny Anthem),spotify:track:5kGiP7uvpsx9rGWN8b3vx1,5kGiP7uvpsx9rGWN8b3vx1,Mista A.R.K,1363,0.683,0.603,0,1,0.255,0,164.833,0.817,0.223,-7.023,sex
3185,All About My Bags,spotify:track:5NcpT2meFpptCPCqcx96fI,5NcpT2meFpptCPCqcx96fI,Tati,1364,0.883,0.426,1,1,0.00268,0.00339,97.978,0.787,0.073,-9.245,sex
3186,Like a Knife - Goodwheel Remix,spotify:track:5lbJ0fPpYZ20hRpChJcNrc,5lbJ0fPpYZ20hRpChJcNrc,Jolie,1365,0.73,0.754,8,1,0.0406,0.00838,118.003,0.795,0.0347,-6.533,sex
3187,Dearly Departed,spotify:track:5fmQRJGYrfZvgwvRey6ylY,5fmQRJGYrfZvgwvRey6ylY,Chev Meadows,1366,0.817,0.712,0,1,0.26,0,103.017,0.316,0.167,-7.105,sex
3188,Today & Tomorrow,spotify:track:5IexEnK1nh5jEjv7PjUshu,5IexEnK1nh5jEjv7PjUshu,Stupid Bars,1367,0.64,0.618,1,1,0.0343,0.000277,158.071,0.209,0.073,-9.702,sex
3189,6 Ringz,spotify:track:5IkqeZXbb2czHmVHiJSAST,5IkqeZXbb2czHmVHiJSAST,Young Treja,1368,0.788,0.543,3,0,0.265,0,157.024,0.594,0.28,-9.641,sex
3190,Everybody,spotify:track:5IP8suVJavzTOT2qyntAZj,5IP8suVJavzTOT2qyntAZj,Brainiac,1369,0.669,0.979,11,0,0.0527,0.812,150.034,0.559,0.129,-2.286,sex
3191,Buyer,spotify:track:5kDRE7b3IMxIHcbuZE7yx3,5kDRE7b3IMxIHcbuZE7yx3,Samu Replay,1370,0.571,0.927,1,1,0.00568,0.00373,200.106,0.958,0.19,-0.934,sex
3192,Street Vibes,spotify:track:5lMaPJBIAIx58tCRprKvNr,5lMaPJBIAIx58tCRprKvNr,AmacTheDesigner,1371,0.479,0.778,6,1,0.231,0.00183,78.962,0.32,0.323,-7.642,sex
3193,Chinatown,spotify:track:5KgxdGgrHrk0w3jGTccS2o,5KgxdGgrHrk0w3jGTccS2o,Mxlls,1372,0.821,0.497,0,0,0.508,0,118.132,0.933,0.387,-12.363,sex
3194,Living Just Right,spotify:track:5L7xld6Wk2Z8fRaoHAY3kb,5L7xld6Wk2Z8fRaoHAY3kb,Hard Trix,1373,0.755,0.451,11,0,0.574,3.68e-05,98.035,0.184,0.0749,-9.831,sex
