,acousticness,artist,class,danceability,energy,instrumentalness,key,loudness,mode,playlist_id,speechiness,tempo,title,valence,category,tf_idf_wonder,tf_idf_transcendence,tf_idf_nostalgia,tf_idf_tenderness,tf_idf_peacefullness,tf_idf_power,tf_idf_joyful,tf_idf_tension,tf_idf_sadness
30,0.00565,Ava Max,happy,0.648,0.6409999999999999,3.63e-06,7,-5.521,1,37i9dQZF1DXdPec7aLTmlC,0.0389,184.021,Who's Laughing Now,0.505,wonder,9.682065019420152,0.0,0.0,0.0,0.0,17.784697817990534,4.789157022101107,9.321209785752384,4.690430029938915
31,0.0742,MishCatt,happy,0.752,0.636,0.00237,4,-5.9,0,37i9dQZF1DXdPec7aLTmlC,0.109,170.11,Goofy,0.56,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0185,Master KG,happy,0.88,0.483,8.75e-06,1,-7.0120000000000005,1,37i9dQZF1DXdPec7aLTmlC,0.0504,124.009,Jerusalema (feat. Nomcebo Zikode),0.8270000000000001,wonder,7.143617602704121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0703,Dimitri Vegas & Like Mike,happy,0.7290000000000001,0.7879999999999999,0.0,10,-4.832,0,37i9dQZF1DXdPec7aLTmlC,0.0908,118.039,Say My Name,0.857,wonder,11.068359380540041,0.0,0.0,0.0,0.0,5.139321635057579,5.4823042026610525,5.353752073436137,0.0
34,0.0112,Sabrina Carpenter,happy,0.624,0.628,0.0191,4,-6.582000000000001,0,37i9dQZF1DXdPec7aLTmlC,0.0408,114.556,Let Me Move You - From the Netflix film Work It,0.772,wonder,6.450470422144176,6.367329185439855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0332,Jason Derulo,happy,0.789,0.711,0.0,2,-4.248,1,37i9dQZF1DXdPec7aLTmlC,0.040999999999999995,112.985,Take You Dancing,0.753,wonder,14.839179076103706,0.0,0.0,4.484884020113589,0.0,9.103069940310919,4.894517537758934,0.0,9.591581091193483
36,0.275,Kygo,happy,0.75,0.664,0.0,8,-5.9079999999999995,0,37i9dQZF1DXdPec7aLTmlC,0.154,105.023,What's Love Got to Do with It,0.617,wonder,41.99178623537681,0.0,0.0,3.7376696182833684,0.0,0.0,24.883818815572276,8.037502013407595,0.0
37,0.076,Little Mix,happy,0.7120000000000001,0.6759999999999999,0.0,5,-5.965,1,37i9dQZF1DXdPec7aLTmlC,0.184,106.156,Holiday,0.648,wonder,4.658710952916121,0.0,9.253210933416312,0.0,18.545383213826163,4.2638528977036785,9.213670930614306,8.956566672164474,0.0
38,0.168,Joel Corry,happy,0.7340000000000001,0.8740000000000001,1.1400000000000001e-05,8,-3.158,1,37i9dQZF1DXdPec7aLTmlC,0.0662,122.95299999999999,Head & Heart (feat. MNEK),0.905,wonder,9.491444659811503,0.0,0.0,0.0,0.0,0.0,32.85692789607748,0.0,9.19023970026918
39,0.00839,Jonas Brothers,happy,0.852,0.698,1.03e-06,9,-7.206,1,37i9dQZF1DXdPec7aLTmlC,0.0629,113.039,What A Man Gotta Do,0.324,wonder,5.757323241584231,0.0,0.0,0.0,0.0,5.3624651863717885,5.705447753975262,0.0,5.60672076181307
