,Unnamed: 0,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
626,770,Won't,spotify:track:4jGhEyPaJ4ewYoj627yjOj,4jGhEyPaJ4ewYoj627yjOj,Tanerélle,114,0.389,0.266,8,0,0.596,0.00106,93.13,0.0398,0.0312,-13.181,sex
1471,1825,Calling,spotify:track:0jpANTfWigCYPLneK0o4gI,0jpANTfWigCYPLneK0o4gI,QUIN,780,0.828,0.479,7,0,0.33,1.2e-05,97.993,0.759,0.0449,-5.999,sex
1903,2443,No Surprise,spotify:track:6q4XLE5WeOBWftoc9gTl2P,6q4XLE5WeOBWftoc9gTl2P,Daughtry,956,0.508,0.823,3,1,0.007409999999999999,0.0,95.98,0.152,0.031,-3.7110000000000003,sad
3142,4094,Tears of Gold,spotify:track:2YyLNljkMy2viVcXoFGTDY,2YyLNljkMy2viVcXoFGTDY,Faouzia,1507,0.5870000000000001,0.664,5,0,0.128,0.0,149.957,0.617,0.0523,-5.6979999999999995,sad
1769,2247,Demons,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,2Oehrcv4Kov0SuIgWyQY9e,Imagine Dragons,359,0.327,0.71,3,1,0.20199999999999999,9e-05,179.56099999999998,0.41600000000000004,0.0547,-2.928,sad
752,906,I'll Keep You Safe,spotify:track:506O2O13slCAUEo6w8aqr8,506O2O13slCAUEo6w8aqr8,sagun,408,0.755,0.0625,7,1,0.945,0.816,114.984,0.462,0.0555,-24.694000000000003,sad
685,685,SaxoSuelta Oriente Tribe,spotify:track:4KohhrwZap4UCXBaHTryRG,4KohhrwZap4UCXBaHTryRG,Dj Esli,371,0.864,0.826,4,0,0.0936,0.0858,130.013,0.214,0.122,-4.004,party
1960,2571,Happy Pills,spotify:track:3zjjzKg16tczCMwckGKGuH,3zjjzKg16tczCMwckGKGuH,Weathers,981,0.521,0.885,4,0,0.0032700000000000003,0.009040000000000001,115.985,0.344,0.125,-4.934,sad
1225,1560,I Know You So Well,spotify:track:1j1grC3HUOkKTQ8gqK8wKg,1j1grC3HUOkKTQ8gqK8wKg,Ondi Vil,629,0.649,0.213,7,1,0.873,0.765,133.985,0.0957,0.0731,-12.285,sad
538,538,Anders,spotify:track:4FogtnE7DiigjsausPXwY4,4FogtnE7DiigjsausPXwY4,GLOWINTHEDARK,326,0.653,0.692,5,0,0.293,0,119.908,0.541,0.0574,-7.964,party
1367,1706,Seventeen,spotify:track:7yMYqHqzye8vtyiHqdVlZw,7yMYqHqzye8vtyiHqdVlZw,Sharon Van Etten,730,0.538,0.77,5,1,0.0158,0.214,127.103,0.23800000000000002,0.0487,-7.376,sex
1802,2283,"Shine On You Crazy Diamond, Pts. 1-5 - 2011 Remastered Version",spotify:track:32dnKMni3I3gwUbWp4mi45,32dnKMni3I3gwUbWp4mi45,Pink Floyd,197,0.266,0.294,7,0,0.7709999999999999,0.6970000000000001,137.941,0.0397,0.0291,-11.937999999999999,sad
556,681,Story of Us,spotify:track:1FoApcZiNshFHhrcA1OeIo,1FoApcZiNshFHhrcA1OeIo,Tinashe,113,0.774,0.621,6,0,0.307,1.74e-05,144.04,0.212,0.0368,-6.977,sex
879,879,Cheerleader - Felix Jaehn Remix Radio Edit,spotify:track:7vFoFDWqTX0mHzLfrF1Cfy,7vFoFDWqTX0mHzLfrF1Cfy,OMI,52,0.782,0.685,4,1,0.166,1.18e-05,118.016,0.603,0.0309,-6.237,party
2068,2564,Breaking Up Is Hard to Do,spotify:track:2x6pbpjVGjiWCcH89IK8AX,2x6pbpjVGjiWCcH89IK8AX,Neil Sedaka,1050,0.743,0.799,8,0,0.699,0,116.112,0.965,0.0375,-5.466,sex
2362,3027,Bloodstream,spotify:track:5v4sZRuvWDcisoOk1PFv6T,5v4sZRuvWDcisoOk1PFv6T,Ed Sheeran,4,0.66,0.316,3,0,0.529,0.000294,91.20700000000001,0.5429999999999999,0.0364,-11.567,sad
2713,3472,Home,spotify:track:3iK2TtvEnhBXHqm0e98dCA,3iK2TtvEnhBXHqm0e98dCA,Hollow Coves,1327,0.51,0.48700000000000004,1,1,0.8640000000000001,0.00352,85.01,0.27399999999999997,0.0251,-11.799000000000001,sad
517,570,Sexual Healing,spotify:track:3VZmChrnVW8JK6ano4gSED,3VZmChrnVW8JK6ano4gSED,Marvin Gaye,334,0.805,0.601,0,0,0.119,0.000129,94.382,0.746,0.0579,-9.7,sex
2823,2823,Stomp! - Single Version,spotify:track:3EG65y2LtxWjfydabHdItb,3EG65y2LtxWjfydabHdItb,The Brothers Johnson,1205,0.859,0.782,10,1,0.154,0.0297,119.518,0.9309999999999999,0.0369,-8.344,party
1145,1145,More Than You Know,spotify:track:6h5PAsRni4IRlxWr6uDPTP,6h5PAsRni4IRlxWr6uDPTP,Axwell /\ Ingrosso,0,0.646,0.741,5,0,0.0275,0,123.077,0.5710000000000001,0.034,-4.973,party
1579,1981,Pumped Up Kicks,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,802,0.733,0.71,5,0,0.145,0.115,127.975,0.965,0.0292,-5.849,sad
