,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
9344,Perfect to Me,spotify:track:0DC7Zs2qvAbNK1owWQ4mlL,0DC7Zs2qvAbNK1owWQ4mlL,0.604,0.546,8,1,0.0889,0,179.847,0.402,0.151,-5.691,,sad
9345,Travelin' Soldier,spotify:track:0AkZjWYCMJ8wWiNex7LmkY,0AkZjWYCMJ8wWiNex7LmkY,0.569,0.365,9,1,0.691,0,145.859,0.508,0.0265,-7.047,,sad
9346,Swear It Again,spotify:track:5cSPxI8joD9uZsuw92SIug,5cSPxI8joD9uZsuw92SIug,0.512,0.623,9,1,0.416,1.29e-05,131.908,0.334,0.029,-4.713,,sad
9347,Zombie,spotify:track:2IZZqH4K02UIYg5EohpNHF,2IZZqH4K02UIYg5EohpNHF,0.307,0.635,7,1,0.0154,0.00483,166.973,0.304,0.0339,-8.957,,sad
9348,This Is Heartbreak,spotify:track:0XHlLhgUHwktBr4veFM0yF,0XHlLhgUHwktBr4veFM0yF,0.646,0.499,2,1,0.465,0,83.94,0.421,0.0597,-7.617,,sad
9349,Grace,spotify:track:0pEkK8MqbmGSX7fT8WLMbR,0pEkK8MqbmGSX7fT8WLMbR,0.722,0.565,4,1,0.435,0,104.483,0.488,0.0335,-5.848,,sad
9350,Chasing Rubies,spotify:track:2nanWdBULpvNAW4r7rmUCD,2nanWdBULpvNAW4r7rmUCD,0.631,0.664,11,0,0.0371,1.08e-06,144.033,0.65,0.0311,-9.299,,sad
9351,Queen of My Heart - Radio Edit,spotify:track:3LaOU1rxGZFPRC4I602Z3O,3LaOU1rxGZFPRC4I602Z3O,0.514,0.497,11,1,0.143,0,109.085,0.317,0.0264,-6.071,,sad
9352,Saints & Sinners,spotify:track:3IRw02CzCpjVJj6LQp9nTB,3IRw02CzCpjVJj6LQp9nTB,0.639,0.857,6,1,0.0586,0,111.953,0.618,0.0443,-6.142,,sad
9360,Deep Wounds,spotify:track:1EXgignL7eG2MHErBEAD5d,1EXgignL7eG2MHErBEAD5d,0.661,0.572,1,1,0.0149,0,159.961,0.339,0.338,-7.101,,sad
9363,Wrong,spotify:track:3EludUFeAoJAwSixWGG5Wg,3EludUFeAoJAwSixWGG5Wg,0.745,0.728,0,1,0.352,0,120.099,0.39,0.0423,-3.39,,sad
9366,FFYL,spotify:track:2edETjnSyBm4Of0Amtxxbd,2edETjnSyBm4Of0Amtxxbd,0.722,0.762,5,0,0.226,7.1e-06,120.038,0.591,0.053,-4.76,,sad
9367,changes,spotify:track:4PANCoXZX3RaT2D6mqSdEU,4PANCoXZX3RaT2D6mqSdEU,0.694,0.319,11,1,0.883,0,129.797,0.493,0.0303,-10.061,,sad
9373,make up,spotify:track:1uxDHAH3cPPg5tmzcoDAIH,1uxDHAH3cPPg5tmzcoDAIH,0.781,0.474,0,1,0.119,0,87.615,0.584,0.24,-7.436,,sad
9374,Somebody,spotify:track:735RSTb2xbtWbDtKD9XDYi,735RSTb2xbtWbDtKD9XDYi,0.63,0.671,6,0,0.363,0,89.921,0.333,0.256,-6.659,,sad
9377,Cold Heart,spotify:track:7hKnJYr6Pi237IknfXRn5K,7hKnJYr6Pi237IknfXRn5K,0.756,0.588,3,0,0.253,0,129.882,0.637,0.0551,-7.617,,sad
9379,Chosen 1,spotify:track:40QrLHWdsxyXLAdjJG4Rxs,40QrLHWdsxyXLAdjJG4Rxs,0.77,0.576,8,0,0.138,0,166.162,0.364,0.339,-11.845,,sad
9380,Redemption,spotify:track:4cRBqWBjuccCowYVHFlXK6,4cRBqWBjuccCowYVHFlXK6,0.694,0.314,0,1,0.611,2.07e-06,119.905,0.341,0.116,-7.82,,sad
9381,From Time,spotify:track:2WC4sK0ryyysQhtDok9Ytr,2WC4sK0ryyysQhtDok9Ytr,0.737,0.494,1,0,0.629,0,94.485,0.44,0.416,-9.723,,sad
9383,Name in the Sand,spotify:track:11p2ty4w5GpoFL4vcK0Cru,11p2ty4w5GpoFL4vcK0Cru,0.646,0.656,11,0,0.0949,0,160.065,0.501,0.0743,-6.798,,sad
9385,Heartless (feat. Mustard),spotify:track:028JxheELfIvvY4zBXuMjw,028JxheELfIvvY4zBXuMjw,0.776,0.64,7,1,0.15,0,160.038,0.326,0.183,-8.058,,sad
9387,Through Da Storm,spotify:track:3NqCEpT8xsHdzpiRlM1kpS,3NqCEpT8xsHdzpiRlM1kpS,0.71,0.49,1,1,0.128,0,74.351,0.621,0.246,-9.832,,sad
9389,Forever,spotify:track:0oVxGuRMnawFgA8aduocfc,0oVxGuRMnawFgA8aduocfc,0.805,0.776,1,1,0.000159,0,146.997,0.172,0.139,-6.006,,sad
9390,Count Me Out,spotify:track:7FITP8MVBwdQcbNAr0aVio,7FITP8MVBwdQcbNAr0aVio,0.836,0.653,4,0,0.406,0,101.954,0.686,0.293,-6.623,,sad
9392,Candy Paint,spotify:track:32lItqlMi4LBhb4k0BaSaC,32lItqlMi4LBhb4k0BaSaC,0.664,0.667,4,1,0.64,1.22e-06,180.064,0.381,0.154,-5.941,,sad
9395,GOSHA,spotify:track:3q8ms2oRMFsyxUYYKDiXIP,3q8ms2oRMFsyxUYYKDiXIP,0.819,0.462,0,0,0.814,1.62e-05,159.873,0.5,0.485,-9.638,,sad
9397,Picture This,spotify:track:00TYv5NLZkKXq5KJZ6LMDt,00TYv5NLZkKXq5KJZ6LMDt,0.831,0.604,0,1,0.0316,0,87.955,0.406,0.273,-6.741,,sad
9400,Last Name (feat. Lil Durk),spotify:track:1wTH87zcNcR4vn1iJLDv0c,1wTH87zcNcR4vn1iJLDv0c,0.671,0.568,0,1,0.17,0,113.296,0.336,0.421,-6.48,,sad
9408,Pain,spotify:track:2QnjMRGBiPGXZZ2ohgH1vz,2QnjMRGBiPGXZZ2ohgH1vz,0.608,0.534,2,1,0.0888,0,88.029,0.0792,0.0686,-6.003,,sad
9409,Heart On Ice,spotify:track:6fWa5CRgy0z30OeGZyMBvD,6fWa5CRgy0z30OeGZyMBvD,0.733,0.389,10,0,0.0513,0,157.878,0.244,0.0738,-8.468,,sad
9410,Tropical Love,spotify:track:4PAClGWBn6RLz8D8Tl05KT,4PAClGWBn6RLz8D8Tl05KT,0.705,0.472,9,0,0.444,0.00021,126.415,0.127,0.247,-9.53,,sad
9411,Finesse,spotify:track:2WP8G2pdddDmnh1xbfKBOI,2WP8G2pdddDmnh1xbfKBOI,0.807,0.319,0,0,0.133,0.000338,94.992,0.299,0.0581,-8.152,,sad
9415,"Hold On, We're Going Home",spotify:track:6jdOi5U5LBzQrc4c1VT983,6jdOi5U5LBzQrc4c1VT983,0.773,0.414,6,0,0.00411,3.4e-05,99.993,0.289,0.0961,-7.436,,sad
9418,29,spotify:track:294r8rdOqr0Nv1vuV5u8Qv,294r8rdOqr0Nv1vuV5u8Qv,0.784,0.391,3,1,0.804,0,90.789,0.711,0.215,-10.628,,sad
9420,ARGUMENTS,spotify:track:3QOgwS9cSv0BITHR5edyp7,3QOgwS9cSv0BITHR5edyp7,0.719,0.446,10,0,0.675,0,94.024,0.352,0.165,-12.86,,sad
9423,FML,spotify:track:6lruHh1jF7ezgbLv72xYmf,6lruHh1jF7ezgbLv72xYmf,0.822,0.575,5,1,0.113,0,100.087,0.616,0.0934,-5.95,,sad
9426,Remedy,spotify:track:4WahOhXKxmMKVnfVXQoEtk,4WahOhXKxmMKVnfVXQoEtk,0.777,0.647,4,0,0.265,0,82.718,0.606,0.328,-6.802,,sad
9430,All I Know,spotify:track:53huWt2NdoNb41JI36cboi,53huWt2NdoNb41JI36cboi,0.653,0.646,10,1,0.227,0,160.04,0.484,0.0962,-6.418,,sad
9432,20/20,spotify:track:4Hqh0dS4x07zuRw6eBTO7p,4Hqh0dS4x07zuRw6eBTO7p,0.886,0.336,4,1,0.557,0,100.044,0.536,0.239,-12.779,,sad
9433,How I Was Raised,spotify:track:4U6wcrY9UaHmxx8aUQ6KeX,4U6wcrY9UaHmxx8aUQ6KeX,0.633,0.687,7,0,0.0833,0,160.035,0.486,0.0726,-5.059,,sad
9438,pop a pill,spotify:track:15VIPlqNYLgN6T43kBAClE,15VIPlqNYLgN6T43kBAClE,0.688,0.551,0,0,0.184,0,162.118,0.558,0.229,-6.299,,sad
9447,Mockingbird,spotify:track:17baAghWcrewNOcc9dCewx,17baAghWcrewNOcc9dCewx,0.621,0.672,4,0,0.21,0,83.808,0.228,0.276,-3.892,,sad
9448,Mansion,spotify:track:08boNC19ELI4p6QJhNDFX7,08boNC19ELI4p6QJhNDFX7,0.428,0.839,10,0,0.575,0,150.575,0.397,0.303,-4.53,,sad
9449,Intro,spotify:track:6WvTGNzjUGlbhXjUll7X2e,6WvTGNzjUGlbhXjUll7X2e,0.769,0.727,0,0,0.0761,0,117.008,0.508,0.192,-5.146,,sad
9450,Sick N' Tired,spotify:track:1O9kBWZdFBWLDyhK1D2kcQ,1O9kBWZdFBWLDyhK1D2kcQ,0.453,0.405,0,1,0.368,0,139.518,0.179,0.105,-10.968,,sad
9452,Happy Birthday,spotify:track:0rRHFywFG6H7NAl2wMMCZg,0rRHFywFG6H7NAl2wMMCZg,0.552,0.653,7,1,0.329,0.0003,93.893,0.293,0.228,-6.881,,sad
9453,Goodbye,spotify:track:5ASJLXBZ2I25PGwUdRurDM,5ASJLXBZ2I25PGwUdRurDM,0.584,0.925,4,0,0.288,0,86.854,0.378,0.141,-2.583,,sad
