,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,ID
27795,http://www.billboard.com/charts/hot-100/2010-11-13,11/13/2010,63,Haunted,Taylor Swift,HauntedTaylor Swift,1,,63,1,spotify:track:11UaQaEp2LvdspTyyuE3ur
27796,http://www.billboard.com/charts/hot-100/2011-11-26,11/26/2011,63,Footloose,Blake Shelton,FootlooseBlake Shelton,1,,63,1,spotify:track:4shPfi6RsJiwQtso2XFGiL
27797,http://www.billboard.com/charts/hot-100/2014-10-04,10/4/2014,63,Gonna Know We Were Here,Jason Aldean,Gonna Know We Were HereJason Aldean,1,,63,1,spotify:track:0mMR63GfhjpxT02rIdq5Mz
27798,http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,63,Lost Without U,Chris Jamison & Adam Levine,Lost Without UChris Jamison & Adam Levine,1,,63,1,spotify:track:6rZ2PWCvrGET4tg03I5Mke
27799,http://www.billboard.com/charts/hot-100/2015-06-06,6/6/2015,63,Old Man,Sawyer Fredericks,Old ManSawyer Fredericks,1,,63,1,spotify:track:2Yh8cnpddujSLPOVJKlSDt
27801,http://www.billboard.com/charts/hot-100/2016-10-22,10/22/2016,63,False Alarm,The Weeknd,False AlarmThe Weeknd,1,,63,1,spotify:track:4oeaIftdpT3JuZLcCkKmVE
27802,http://www.billboard.com/charts/hot-100/2017-05-06,5/6/2017,63,Duckworth.,Kendrick Lamar,Duckworth.Kendrick Lamar,1,,63,1,spotify:track:0y9uTzK9cNKSAEHnpeRG8C
27804,https://www.billboard.com/charts/hot-100/2018-07-14,7/14/2018,63,Karma,Queen Naija,KarmaQueen Naija,1,,63,1,spotify:track:3qmm9AdG0TnShv0drgXNIQ
27805,https://www.billboard.com/charts/hot-100/2018-09-01,9/1/2018,63,Happier,Marshmello & Bastille,HappierMarshmello & Bastille,1,,63,1,spotify:track:2dpaYNEQHiRxtZbfNsse99
27806,https://www.billboard.com/charts/hot-100/2018-10-20,10/20/2018,63,Is That Alright?,Lady Gaga,Is That Alright?Lady Gaga,1,,63,1,spotify:track:172e82oK9vGoBPvc6SqMm5
27808,https://www.billboard.com/charts/hot-100/2019-04-13,4/13/2019,63,Listen Before I Go,Billie Eilish,Listen Before I GoBillie Eilish,1,,63,1,spotify:track:0tMSssfxAL2oV8Vri0mFHE
27810,https://www.billboard.com/charts/hot-100/2019-11-09,11/9/2019,63,Jesus Is Lord,Kanye West,Jesus Is LordKanye West,1,,63,1,spotify:track:7sBgFMWqDWQgrsNSpIBoe8
27812,http://www.billboard.com/charts/hot-100/1959-05-16,5/16/1959,64,My Melancholy Baby,Tommy Edwards,My Melancholy BabyTommy Edwards,1,,64,1,spotify:track:0C8O5V0V8NN3aD0ddedCNJ
27813,http://www.billboard.com/charts/hot-100/1962-02-17,2/17/1962,64,"Hey, Let's Twist",Joey Dee & the Starliters,"Hey, Let's TwistJoey Dee & the Starliters",1,,64,1,spotify:track:0PpKIflXVp3MZul2k0LP28
27814,http://www.billboard.com/charts/hot-100/1962-05-12,5/12/1962,64,It Keeps Right On A-Hurtin',Johnny Tillotson,It Keeps Right On A-Hurtin'Johnny Tillotson,1,,64,1,spotify:track:7lSw1g2Pf17TNrZ1w485mz
27815,http://www.billboard.com/charts/hot-100/1965-09-18,9/18/1965,64,Just A Little Bit Better,Herman's Hermits,Just A Little Bit BetterHerman's Hermits,1,,64,1,spotify:track:3mHv5hJCuFTvz3nomrFRJz
27816,http://www.billboard.com/charts/hot-100/1965-10-09,10/9/1965,64,Get Off Of My Cloud,The Rolling Stones,Get Off Of My CloudThe Rolling Stones,1,,64,1,spotify:track:263Iuyk08ks1v6FIudUIGD
27817,http://www.billboard.com/charts/hot-100/1967-04-29,4/29/1967,64,I Was Kaiser Bill's Batman,Whistling Jack Smith,I Was Kaiser Bill's BatmanWhistling Jack Smith,1,,64,1,spotify:track:2ZVN3aLhzeet3uepP9RdoZ
27818,http://www.billboard.com/charts/hot-100/1967-12-09,12/9/1967,64,I Am The Walrus,The Beatles,I Am The WalrusThe Beatles,1,,64,1,spotify:track:6Pq9MmkDQYZiiCDpxnvrf6
27819,http://www.billboard.com/charts/hot-100/1968-03-23,3/23/1968,64,Honey,Bobby Goldsboro,HoneyBobby Goldsboro,1,,64,1,spotify:track:2Qhvi6R73Zj3cpzRYzcAww
27820,http://www.billboard.com/charts/hot-100/1968-06-08,6/8/1968,64,Lady Willpower,Gary Puckett And The Union Gap,Lady WillpowerGary Puckett And The Union Gap,1,,64,1,spotify:track:2v32CGfALncxmdlF4JbKZ4
27821,http://www.billboard.com/charts/hot-100/1968-11-02,11/2/1968,64,I Love How You Love Me,Bobby Vinton,I Love How You Love MeBobby Vinton,1,,64,1,spotify:track:3NQbjpaVxHz5s8ZIUtRAhu
27822,http://www.billboard.com/charts/hot-100/1970-02-21,2/21/1970,64,Gotta Hold On To This Feeling,Jr. Walker & The All Stars,Gotta Hold On To This FeelingJr. Walker & The All Stars,1,,64,1,spotify:track:2dlVeyhP1kM1xdfJGN6gpG
27823,http://www.billboard.com/charts/hot-100/1970-04-11,4/11/1970,64,Love Land,Charles Wright And The Watts 103rd Street Rhythm Band,Love LandCharles Wright And The Watts 103rd Street Rhythm Band,1,,64,1,spotify:track:5tMuapLvDtmai49KiqXKnu
27824,http://www.billboard.com/charts/hot-100/1971-08-21,8/21/1971,64,Marianne,Stephen Stills,MarianneStephen Stills,1,,64,1,spotify:track:1HADDYvL2Mp6D1cnqkzo1x
27825,http://www.billboard.com/charts/hot-100/1972-02-26,2/26/1972,64,In The Rain,The Dramatics,In The RainThe Dramatics,1,,64,1,spotify:track:6aKFAhG7hCy71wLDMKjP5G
27826,http://www.billboard.com/charts/hot-100/1973-08-18,8/18/1973,64,Ghetto Child,The Spinners,Ghetto ChildThe Spinners,1,,64,1,spotify:track:3qmyaJxqKaGkAioK3lEnFS
27828,http://www.billboard.com/charts/hot-100/1976-02-07,2/7/1976,64,Good Hearted Woman,Waylon & Willie,Good Hearted WomanWaylon & Willie,1,,64,1,spotify:track:3CqLvQ9fPOLtLIKb7r5ti6
27829,http://www.billboard.com/charts/hot-100/1976-04-24,4/24/1976,64,I Want You,Marvin Gaye,I Want YouMarvin Gaye,1,,64,1,spotify:track:2gmWJA9oF4GD2Vw5QoRqu1
27830,http://www.billboard.com/charts/hot-100/1977-02-05,2/5/1977,64,Here Come Those Tears Again,Jackson Browne,Here Come Those Tears AgainJackson Browne,1,,64,1,spotify:track:0TEFPhz79iiutJXI0pNiur
27831,http://www.billboard.com/charts/hot-100/1979-06-16,6/16/1979,64,Getting Closer,Wings,Getting CloserWings,1,,64,1,spotify:track:76sm9bJYSXVFyPWycv6TwV
27832,http://www.billboard.com/charts/hot-100/1979-11-03,11/3/1979,64,Jane,Jefferson Starship,JaneJefferson Starship,1,,64,1,spotify:track:2RNd6VgxG19db0zs0M1C4Z
27833,http://www.billboard.com/charts/hot-100/1979-12-22,12/22/1979,64,Fool In The Rain,Led Zeppelin,Fool In The RainLed Zeppelin,1,,64,1,spotify:track:62p6fF2r4NY6pwZbxxvmr8
27834,http://www.billboard.com/charts/hot-100/1981-07-18,7/18/1981,64,Fire And Ice,Pat Benatar,Fire And IcePat Benatar,1,,64,1,spotify:track:4U1yw4DNtAZq4oSCGTOJ2s
27837,http://www.billboard.com/charts/hot-100/1984-05-19,5/19/1984,64,Legs,ZZ Top,LegsZZ Top,1,,64,1,spotify:track:7t6CAWplijBj4sdl0q3z0e
27838,http://www.billboard.com/charts/hot-100/1984-08-25,8/25/1984,64,Flesh For Fantasy,Billy Idol,Flesh For FantasyBilly Idol,1,,64,1,spotify:track:5NJvgtVjLTTogjFcrOIZYN
27839,http://www.billboard.com/charts/hot-100/1984-12-01,12/1/1984,64,Love Light In Flight,Stevie Wonder,Love Light In FlightStevie Wonder,1,,64,1,spotify:track:5TKz8J4Noz4nZSFIOpHpMm
27840,http://www.billboard.com/charts/hot-100/1985-03-09,3/9/1985,64,Forever Man,Eric Clapton,Forever ManEric Clapton,1,,64,1,spotify:track:349PT8jfi7RxXB7DZM0NMX
27841,http://www.billboard.com/charts/hot-100/1986-02-01,2/1/1986,64,Goodbye Is Forever,Arcadia,Goodbye Is ForeverArcadia,1,,64,1,spotify:track:75l1HJhqU1DKSXoiRra3um
27842,http://www.billboard.com/charts/hot-100/1986-11-01,11/1/1986,64,Land Of Confusion,Genesis,Land Of ConfusionGenesis,1,,64,1,spotify:track:6twIBPybEvGydyNzNz89FT
27843,http://www.billboard.com/charts/hot-100/1987-01-31,1/31/1987,64,Nothing's Gonna Stop Us Now,Starship,Nothing's Gonna Stop Us NowStarship,1,,64,1,spotify:track:3X7uFMzJrEE0sxn62qd8Ch
27844,http://www.billboard.com/charts/hot-100/1988-03-19,3/19/1988,64,I Don't Want To Live Without You,Foreigner,I Don't Want To Live Without YouForeigner,1,,64,1,spotify:track:19aYH2zhbnTNx4plfenrIk
27846,http://www.billboard.com/charts/hot-100/1989-08-26,8/26/1989,64,Listen To Your Heart,Roxette,Listen To Your HeartRoxette,1,,64,1,spotify:track:1qIKynV6YQZgocodkPdCy7
27847,http://www.billboard.com/charts/hot-100/1990-08-04,8/4/1990,64,Heart Of Stone,Taylor Dayne,Heart Of StoneTaylor Dayne,1,,64,1,spotify:track:3V1NOgRn1eTshgG7OiavSl
