,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
38,NIGHTRIDER,spotify:track:72PFP54TZ9Tpj9dYQcb46D,72PFP54TZ9Tpj9dYQcb46D,Arizona Zervas,37,0.66,0.755,0,0,0.0876,0,145.948,0.862,0.0469,-4.501,chill
39,Winding Road,spotify:track:2fP8RyfovqVxN6eiVt5wKK,2fP8RyfovqVxN6eiVt5wKK,The Mayries,38,0.577,0.403,7,0,0.379,0.000108,129.806,0.262,0.0274,-11.362,chill
40,Slow Motion,spotify:track:09svEvkmTi9vw4kWRyBC6X,09svEvkmTi9vw4kWRyBC6X,Charlotte Lawrence,39,0.665,0.61,0,0,0.423,0,127.976,0.473,0.0436,-7.655,chill
41,Nobody's Love,spotify:track:3kwgqoBqTwoAH4nT29TYrq,3kwgqoBqTwoAH4nT29TYrq,Maroon 5,40,0.486,0.567,1,1,0.31,0,93.68,0.154,0.0379,-6.456,chill
42,What's Love Got to Do with It,spotify:track:3Be7CLdHZpyzsVijme39cW,3Be7CLdHZpyzsVijme39cW,Kygo,41,0.75,0.664,8,0,0.275,0,105.023,0.617,0.154,-5.908,chill
43,To Be Young (feat. Doja Cat),spotify:track:4YAg8h8WliHZlW5wuv8Jpk,4YAg8h8WliHZlW5wuv8Jpk,Anne-Marie,42,0.525,0.649,8,1,0.241,0,155.995,0.286,0.0655,-4.802,chill
44,Easy,spotify:track:3gwoz4xZuye0agjYgrC2je,3gwoz4xZuye0agjYgrC2je,Troye Sivan,43,0.639,0.569,0,0,0.0581,0.000169,142.967,0.616,0.0487,-7.236,chill
45,Night Garden (feat. Kenny Beats & Bakar),spotify:track:1aFL6FVclpfPafOGekKkna,1aFL6FVclpfPafOGekKkna,BENEE,44,0.84,0.623,9,0,0.0156,0,89.049,0.464,0.143,-4.925,chill
46,Friend,spotify:track:6fGSHpEipD1YjtLLChnBzW,6fGSHpEipD1YjtLLChnBzW,Gracie Abrams,45,0.7,0.494,4,1,0.742,0,132.943,0.229,0.0463,-4.908,chill
47,I Don't Think I'm Okay,spotify:track:0PUkanqCGTb6qseXPKOw1F,0PUkanqCGTb6qseXPKOw1F,Bazzi,46,0.445,0.33,9,1,0.574,0,128.025,0.187,0.0429,-8.121,chill
48,Love Me Land,spotify:track:3J6bLodhUHgNyzEZLgcieN,3J6bLodhUHgNyzEZLgcieN,Zara Larsson,47,0.302,0.481,2,0,0.0945,5.33e-06,216.334,0.252,0.0625,-7.023,chill
49,F2020,spotify:track:3HZuxQ80VWOsBWws8XQdFB,3HZuxQ80VWOsBWws8XQdFB,Avenue Beat,48,0.702,0.597,2,1,0.587,3.62e-06,85.016,0.383,0.207,-7.067,chill
50,AFK,spotify:track:6ShtJ9am7fTgP0VEXYYV5c,6ShtJ9am7fTgP0VEXYYV5c,Daniel Schulz,49,0.69,0.723,9,1,0.413,0,146.902,0.75,0.0502,-6.442,chill
51,Sad Girl Summer,spotify:track:45vKP0cRjVu9UxNIWVHDoj,45vKP0cRjVu9UxNIWVHDoj,Maisie Peters,50,0.547,0.791,0,1,0.558,0,84.222,0.595,0.127,-3.906,chill
52,Slow Grenade,spotify:track:5z8uLrYMcUVvzTV28twt44,5z8uLrYMcUVvzTV28twt44,Ellie Goulding,51,0.758,0.562,9,1,0.0996,0,142.035,0.581,0.0771,-6.302,chill
53,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",spotify:track:4JB0EAT4BkLShTyTt50FmO,4JB0EAT4BkLShTyTt50FmO,Ty Dolla $ign,52,0.813,0.615,10,0,0.061,0,111.039,0.321,0.132,-5.624,chill
54,"Hey Stupid, I Love You",spotify:track:5inDa3sWj8zqJBOdj7Bjqc,5inDa3sWj8zqJBOdj7Bjqc,JP Saxe,53,0.758,0.594,5,0,0.218,5.32e-06,91.864,0.869,0.426,-9.63,chill
55,Ordinary People,spotify:track:0FrHyYxj92dg4qIu8BO30l,0FrHyYxj92dg4qIu8BO30l,Blake Rose,54,0.363,0.12,7,1,0.899,2.34e-05,71.024,0.176,0.0358,-11.662,chill
56,Past Life (with Selena Gomez),spotify:track:4P6IttK2PRBjyr3fm0pP7t,4P6IttK2PRBjyr3fm0pP7t,Trevor Daniel,55,0.612,0.539,3,1,0.104,0,79.948,0.294,0.0488,-5.071,chill
57,Love Somebody,spotify:track:50wetCP0Nsx5sIaFHCYlCe,50wetCP0Nsx5sIaFHCYlCe,Lauv,56,0.465,0.468,7,1,0.262,0,83.366,0.373,0.134,-7.799,chill
58,No Right To Love You,spotify:track:4SHJLxcRicQyT42jG95Y5u,4SHJLxcRicQyT42jG95Y5u,Rhys Lewis,57,0.602,0.43,1,1,0.654,0.00013,159.845,0.298,0.0401,-9.484,chill
59,Too Close,spotify:track:67GvvBfumjbeuMzhXVgn02,67GvvBfumjbeuMzhXVgn02,JP Cooper,58,0.642,0.734,11,1,0.117,0,140.085,0.3,0.103,-4.979,chill
60,Moral of the Story (feat. Niall Horan),spotify:track:2NWVdwbd2hPIzC2lyf4y63,2NWVdwbd2hPIzC2lyf4y63,Ashe,59,0.599,0.374,10,1,0.495,0,119.9,0.224,0.0385,-8.896,chill
61,Blink Twice,spotify:track:5VQ1j0nlkUpXMNdnY5cDH0,5VQ1j0nlkUpXMNdnY5cDH0,Joy Oladokun,60,0.436,0.122,11,1,0.966,0,108.967,0.278,0.0434,-10.947,chill
62,Experience,spotify:track:0hRRNHeSZv2x6pHCcXPAct,0hRRNHeSZv2x6pHCcXPAct,Victoria Monét,61,0.614,0.809,9,1,0.0105,0.000353,112.023,0.354,0.0738,-4.749,chill
63,Drunk Enough To,spotify:track:1cgvB6KaL16ibyrJHhZeG0,1cgvB6KaL16ibyrJHhZeG0,Nea,62,0.73,0.584,5,1,0.0897,2.8e-05,98.981,0.575,0.0463,-6.209,chill
64,Happiest Year,spotify:track:5kcvBnt6DPX3AMEsCx1qDh,5kcvBnt6DPX3AMEsCx1qDh,Jaymes Young,63,0.501,0.167,1,1,0.885,0,112.275,0.356,0.0484,-14.061,chill
65,Break It Right,spotify:track:2ggaQJV9jcN2dJt8BMV4SD,2ggaQJV9jcN2dJt8BMV4SD,Emelie Hollow,64,0.459,0.318,0,1,0.773,0,123.218,0.218,0.0465,-8.622,chill
66,Black Converse,spotify:track:0NbDnRbBxUaT27CTgmraSG,0NbDnRbBxUaT27CTgmraSG,LOVA,65,0.775,0.41,3,1,0.724,2.62e-05,117.165,0.298,0.0464,-7.481,chill
67,Bitter,spotify:track:5Z0AM9HW78XIyZqF2BPasr,5Z0AM9HW78XIyZqF2BPasr,FLETCHER,18,0.724,0.594,6,0,0.393,0.00116,136.002,0.413,0.102,-7.126,chill
68,Match In The Rain,spotify:track:08o7YsYkQXGjamCe9eDrrK,08o7YsYkQXGjamCe9eDrrK,Alec Benjamin,66,0.777,0.716,10,0,0.734,8.3e-05,120.052,0.829,0.256,-7.342,chill
69,Only Us,spotify:track:1SQbUQ8w21CxAhvkZvHN0u,1SQbUQ8w21CxAhvkZvHN0u,Kygo,41,0.424,0.402,9,1,0.646,5.11e-06,82.002,0.199,0.0617,-10.652,chill
70,3AM,spotify:track:6xRNqXP3baPR9buXr8vreM,6xRNqXP3baPR9buXr8vreM,Russ,67,0.569,0.657,0,1,0.108,0,73.008,0.111,0.0425,-6.639,chill
71,IDK You Yet,spotify:track:47EWMOElkkbMp5m9SBkx7d,47EWMOElkkbMp5m9SBkx7d,Alexander 23,27,0.629,0.306,1,1,0.884,0.0776,76.994,0.191,0.0424,-11.735,chill
72,Long Sleeves,spotify:track:5YCdSbVqiryQujS6hhS635,5YCdSbVqiryQujS6hhS635,Gracie Abrams,45,0.453,0.252,10,1,0.815,3.98e-05,117.911,0.106,0.0355,-9.185,chill
73,Empty Love (ft. Ruel),spotify:track:4ticY1NEauYaMGosBnvCLE,4ticY1NEauYaMGosBnvCLE,GRACEY,68,0.807,0.443,2,1,0.219,0,120.109,0.525,0.284,-8.683,chill
74,Nobody Likes Moving On,spotify:track:5vcfdnzelPCIZHg8dOkagP,5vcfdnzelPCIZHg8dOkagP,SHY Martin,23,0.635,0.448,11,1,0.399,9.58e-06,159.812,0.386,0.089,-10.782,chill
75,Until We Meet Again,spotify:track:6aXgxeYA03veaPyHHZQaj3,6aXgxeYA03veaPyHHZQaj3,Nick Jonas,69,0.422,0.518,8,1,0.339,0,77.378,0.29,0.0646,-5.862,chill
76,Run Into You - Stripped,spotify:track:6veXclTRUlmWBZLti769dH,6veXclTRUlmWBZLti769dH,Clara Mae,70,0.622,0.347,6,1,0.835,0,126.152,0.149,0.0326,-7.532,chill
77,Give It To You (from Songland),spotify:track:0U2HEoCazR0hZlNavNeWov,0U2HEoCazR0hZlNavNeWov,Julia Michaels,71,0.365,0.614,9,1,0.506,0,96.799,0.495,0.0831,-7.1,chill
78,Like No One Does,spotify:track:2HnfqILzgKt1CepTlU4oqq,2HnfqILzgKt1CepTlU4oqq,Jake Scott,72,0.8,0.41,10,1,0.352,1.45e-06,104.941,0.442,0.236,-12.734,chill
79,i think too much,spotify:track:6wFqLYmiXyGvprbWa4ogm8,6wFqLYmiXyGvprbWa4ogm8,Christian French,73,0.675,0.695,7,0,0.00383,2.95e-05,92.025,0.662,0.0753,-7.859,chill
80,Coffee,spotify:track:1VbClJ27jcsMNmOxHnXlKV,1VbClJ27jcsMNmOxHnXlKV,Quinn XCII,74,0.831,0.452,5,0,0.0803,0,93.04,0.534,0.047,-5.111,chill
81,Five More Minutes,spotify:track:0WxSQtLMCLcsAOhliamv5W,0WxSQtLMCLcsAOhliamv5W,Jonas Brothers,75,0.836,0.304,4,1,0.305,0,94.037,0.688,0.0666,-7.948,chill
82,i don't want to watch the world end with someone else,spotify:track:58qX77t2VWMWcycsh9zKLc,58qX77t2VWMWcycsh9zKLc,Clinton Kane,76,0.535,0.359,2,1,0.771,0,154.163,0.488,0.0607,-9.343,chill
83,Stuck with U (with Justin Bieber),spotify:track:4HBZA5flZLE435QTztThqH,4HBZA5flZLE435QTztThqH,Ariana Grande,77,0.597,0.45,8,1,0.223,0,178.765,0.537,0.0418,-6.658,chill
84,you broke me first,spotify:track:45bE4HXI0AwGZXfZtMp8JR,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,78,0.642,0.374,4,1,0.786,0,124.099,0.0799,0.0545,-9.386,chill
85,Supalonely (Lownely),spotify:track:0hVZCUZKWsWFU6i5zlRZZr,0hVZCUZKWsWFU6i5zlRZZr,BENEE,44,0.696,0.338,7,1,0.888,2.85e-05,115.007,0.204,0.037,-8.611,chill
86,Surrender,spotify:track:0ecC8p17cDNlxHXkuYqeR6,0ecC8p17cDNlxHXkuYqeR6,Natalie Taylor,79,0.39,0.448,5,0,0.8,0.182,144.89,0.077,0.0276,-8.57,chill
87,Love Like That,spotify:track:2tSDwInMbSGmUySTeUgO5e,2tSDwInMbSGmUySTeUgO5e,Lauv,56,0.679,0.481,3,1,0.208,1.02e-05,80.011,0.486,0.0593,-9.045,chill
88,Somewhere in Ann Arbor,spotify:track:7EurJLsr9GPEp8Aq5LJvOK,7EurJLsr9GPEp8Aq5LJvOK,Anson Seabra,80,0.566,0.153,1,1,0.932,2.59e-06,90.493,0.399,0.0399,-14.133,chill
89,Down,spotify:track:6wpdCYRRzFtBT7HzdEqgK9,6wpdCYRRzFtBT7HzdEqgK9,Jack Curley,81,0.64,0.442,6,1,0.691,0,80.013,0.277,0.0501,-9.025,chill
90,Be Kind (with Halsey),spotify:track:3Z8FwOEN59mRMxDCtb8N0A,3Z8FwOEN59mRMxDCtb8N0A,Marshmello,82,0.63,0.633,4,1,0.00776,0,93.995,0.452,0.0457,-7.088,chill
91,Everything,spotify:track:2aE0KU314ITBNJcBTG7tfm,2aE0KU314ITBNJcBTG7tfm,Vide,2,0.481,0.379,2,1,0.899,2.24e-06,79.103,0.401,0.0449,-10.612,chill
92,I Like It When You Love Me,spotify:track:6UiS2IW9dEZwC6TluY5zSy,6UiS2IW9dEZwC6TluY5zSy,Oh Wonder,83,0.481,0.432,5,0,0.824,0.000347,83.595,0.194,0.383,-11.982,chill
93,Eleven (feat. Summer Walker),spotify:track:18O00Y7yrkJ0pRXm1n21Og,18O00Y7yrkJ0pRXm1n21Og,Khalid,84,0.679,0.408,4,0,0.133,0.00455,129.079,0.151,0.0882,-9.754,chill
94,Wolves,spotify:track:59hfgU3tsQ0zKpSX7toiwn,59hfgU3tsQ0zKpSX7toiwn,Azure Ryder,85,0.584,0.214,2,1,0.88,2.52e-05,95.822,0.41,0.0418,-9.323,chill
95,Forever Young,spotify:track:0Kjkp9SLw8uhBAiSrSgdcB,0Kjkp9SLw8uhBAiSrSgdcB,Boy In Space,86,0.557,0.219,7,1,0.579,1.3e-06,122.055,0.394,0.0317,-10.48,chill
96,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",spotify:track:6lIRYe72fn1pf7TNqfI0ul,6lIRYe72fn1pf7TNqfI0ul,Cautious Clay,87,0.818,0.623,9,0,0.201,0,120.104,0.968,0.043,-5.901,chill
97,The World Keeps Spinning On,spotify:track:4x7V4jY4TMORJMXY1qipXc,4x7V4jY4TMORJMXY1qipXc,Gavin Haley,88,0.794,0.446,7,1,0.868,0,112.048,0.409,0.0436,-5.399,chill
98,ily (i love you baby) (feat. Emilee),spotify:track:62aP9fBQKYKxi7PDXwcUAS,62aP9fBQKYKxi7PDXwcUAS,Surf Mesa,89,0.674,0.774,11,0,0.0686,0.00188,112.05,0.33,0.0892,-7.567,chill
99,Off the Grid (feat. Khalid),spotify:track:66RPX3Neyf2jim51gdtjqd,66RPX3Neyf2jim51gdtjqd,Alina Baraz,90,0.677,0.533,10,1,0.313,0.0359,83.498,0.52,0.077,-8.454,chill
100,Elba,spotify:track:5snLmzdl7l5t4vSwG19sYG,5snLmzdl7l5t4vSwG19sYG,Smith/Hill,91,0.281,0.0279,7,1,0.98,0.909,75.048,0.0374,0.0395,-24.54,chill
101,Cling to My Way,spotify:track:6FFrxaAv3uPWMwWJVYdvBn,6FFrxaAv3uPWMwWJVYdvBn,Ismail Hewitt,92,0.0944,0.194,2,1,0.629,0.787,78.111,0.0373,0.0378,-17.376,chill
102,Beautiful Fireworks,spotify:track:1gWWuP355fOeTUAyC9xz5M,1gWWuP355fOeTUAyC9xz5M,Ismail Hewitt,92,0.291,0.284,7,1,0.296,0.861,80.352,0.0719,0.032,-16.699,chill
103,Out of Her Kiss,spotify:track:5r64dtCbnKwAiN9kDsPQgw,5r64dtCbnKwAiN9kDsPQgw,Ismail Hewitt,92,0.16,0.155,3,1,0.916,0.77,108.307,0.0482,0.0403,-19.405,chill
104,Dance Story,spotify:track:7gondKYANxrC3TEOfyHgUX,7gondKYANxrC3TEOfyHgUX,Ismail Hewitt,92,0.406,0.117,10,0,0.736,0.902,119.985,0.176,0.0373,-22.143,chill
105,"Sweetie, Oh Baby",spotify:track:0UYcoAjRGcmZIVDKpUsqOU,0UYcoAjRGcmZIVDKpUsqOU,Ismail Hewitt,92,0.383,0.292,4,0,0.676,0.958,80.005,0.272,0.0304,-21.912,chill
106,Where Have You Gone,spotify:track:1nH7bTJSqu4qYkVMhRn4Id,1nH7bTJSqu4qYkVMhRn4Id,Chloe-Ann Weston,93,0.551,0.262,6,0,0.102,0.801,160.036,0.209,0.0745,-24.646,chill
107,Animals,spotify:track:0t9ZdnBa9qStzpPkZKWNb5,0t9ZdnBa9qStzpPkZKWNb5,Chloe-Ann Weston,93,0.525,0.217,6,1,0.0205,0.878,139.973,0.817,0.0299,-23.03,chill
108,Butterfly,spotify:track:1HzzAFxeKo5mYiabyq6Tbq,1HzzAFxeKo5mYiabyq6Tbq,Chloe-Ann Weston,93,0.735,0.144,0,1,0.735,0.807,119.971,0.825,0.0313,-27.187,chill
