,title,meta,id,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,artist,mood
3077,Happiness,spotify:track:2rXVtoLBHuXcNB5DVfIc9p,2rXVtoLBHuXcNB5DVfIc9p,0.399,0.235,5,1,0.734,1.56e-06,105.645,0.197,0.0334,-9.774,Rex Orange County,sad
3078,La La Lost You - Acoustic Version,spotify:track:5WkCcSa78lM1Ym4LXzJUiN,5WkCcSa78lM1Ym4LXzJUiN,0.606,0.196,1,1,0.908,0,100.873,0.391,0.0553,-11.652,NIKI,sad
3079,I'm Sick of Trying,spotify:track:1QuzPovD4fnVy8KezHv7rI,1QuzPovD4fnVy8KezHv7rI,0.428,0.479,5,0,0.535,0,165.927,0.464,0.213,-9.758,Vaboh,sad
3081,What's Broken With You?,spotify:track:2WHO4GRsS21m7G7zgUZOxl,2WHO4GRsS21m7G7zgUZOxl,0.837,0.499,5,0,0.27,0,133.978,0.456,0.0388,-6.822,Vaboh,sad
3083,All We Do,spotify:track:6Vigp41BietH0WoFZ52JI5,6Vigp41BietH0WoFZ52JI5,0.59,0.242,10,0,0.978,0.000124,126.721,0.366,0.0516,-11.724,Oh Wonder,sad
3085,Nineteen,spotify:track:4HOm1XUwnHwaGEQRsPCsbx,4HOm1XUwnHwaGEQRsPCsbx,0.272,0.129,9,0,0.829,2.64e-05,173.806,0.185,0.0326,-12.178,Hayley Williams,sad
3086,Toxic,spotify:track:4sOqyHdplZN724VTh7pSrn,4sOqyHdplZN724VTh7pSrn,0.618,0.487,8,0,0.686,0,84.053,0.308,0.0306,-8.618,Vaboh,sad
3087,Every Little Thing She Does Is Magic,spotify:track:3cBtANnJGopPaRMXCl3mV7,3cBtANnJGopPaRMXCl3mV7,0.613,0.314,1,1,0.975,8.41e-06,132.776,0.421,0.031,-9.575,Sleeping At Last,sad
3088,18,spotify:track:0TK2EY9qEOo7n2c1UGUukJ,0TK2EY9qEOo7n2c1UGUukJ,0.607,0.462,0,1,0.047,0,170.039,0.585,0.102,-9.644,iann dior,sad
3091,Oblivion,spotify:track:6ZeQp2XTOiPCePWRfCHSo5,6ZeQp2XTOiPCePWRfCHSo5,0.422,0.321,5,1,0.76,2.33e-06,78.533,0.28,0.0294,-8.952,Bastille,sad
