,title,meta,id,artist,artist_factor,danceability,energy,key,mode,acousticness,instrumentalness,tempo,valence,speechiness,loudness,label
37,Remember the Name (feat. Styles of Beyond),spotify:track:6ndmKwWqMozN2tcZqzCX4K,6ndmKwWqMozN2tcZqzCX4K,Fort Minor,29,0.688,0.835,8,1,0.0583,2.87e-06,84.858,0.88,0.0911,-4.162,angry
38,Ima Boss (feat. Rick Ross),spotify:track:7sjwaBQ6M3aVigYfBjm1sL,7sjwaBQ6M3aVigYfBjm1sL,Meek Mill,30,0.37,0.87,5,1,0.0415,0.0,79.092,0.331,0.271,-2.09,angry
39,m.A.A.d city,spotify:track:439TlnnznSiBbQbgXiBqAd,439TlnnznSiBbQbgXiBqAd,Kendrick Lamar,28,0.487,0.729,2,1,0.0538,4.07e-06,91.048,0.217,0.271,-6.815,angry
40,"Work Hard, Play Hard",spotify:track:1ms5tNNdPouTtcD2oVF9Oz,1ms5tNNdPouTtcD2oVF9Oz,Wiz Khalifa,31,0.787,0.666,11,1,0.0409,1.91e-05,140.008,0.485,0.0485,-4.475,angry
41,Man Of The Year,spotify:track:5SsR3wtCOafDmZgvIdRhSm,5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,32,0.749,0.865,3,1,0.00536,0.0,111.914,0.371,0.0413,-5.228,angry
42,A Milli,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,6ScJMrlpiLfZUGtWp4QIVt,Lil Wayne,25,0.674,0.695,6,0,0.0387,0.00202,151.486,0.773,0.278,-8.636,angry
43,Black Skinhead,spotify:track:722tgOgdIbNe3BEyLnejw4,722tgOgdIbNe3BEyLnejw4,Kanye West,22,0.766,0.809,1,1,0.0011,0.0,130.127,0.325,0.279,-6.123,angry
44,Fast Lane,spotify:track:2c5Isyd07hWsl7AQia2Dig,2c5Isyd07hWsl7AQia2Dig,Bad Meets Evil,33,0.615,0.871,1,1,0.0388,0.0,119.149,0.338,0.281,-3.804,angry
45,Hard in Da Paint,spotify:track:3XQY8kDjI8LARMIC9xkxQk,3XQY8kDjI8LARMIC9xkxQk,Waka Flocka Flame,34,0.611,0.66,11,1,0.198,0.0,71.544,0.583,0.0839,-5.883,angry
46,Red Nation,spotify:track:2sYUGgzQfHQ6lOWzbrny8Z,2sYUGgzQfHQ6lOWzbrny8Z,The Game,35,0.405,0.889,2,1,0.0922,0.0,82.918,0.338,0.317,-3.303,angry
47,Ni**as In Paris,spotify:track:4Li2WHPkuyCdtmokzW2007,4Li2WHPkuyCdtmokzW2007,JAY-Z,36,0.789,0.858,1,1,0.127,0.0,140.022,0.775,0.311,-5.542,angry
48,New Level (feat. Future),spotify:track:25rc1PFgPvtV6GFSloyOI0,25rc1PFgPvtV6GFSloyOI0,A$AP Ferg,26,0.738,0.704,1,0,0.0344,0.0,121.059,0.152,0.131,-1.69,angry
49,Back To Back,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,5lFDtgWsjRJu8fPOAyJIAK,Drake,12,0.893,0.48,1,0,0.00855,0.0,86.976,0.382,0.356,-3.728,angry
50,The Game & Skrillex: El Chapo,spotify:track:24b20V609aI0WJ8LyxR8qx,24b20V609aI0WJ8LyxR8qx,The Game,35,0.754,0.909,6,0,0.138,0.0,126.994,0.591,0.23,-3.323,angry
51,HUMBLE.,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,28,0.908,0.621,1,0,0.000282,5.39e-05,150.011,0.421,0.102,-6.638,angry
52,Hustlin',spotify:track:3hQCHzkE5oSA3F1xM8bpcM,3hQCHzkE5oSA3F1xM8bpcM,Rick Ross,37,0.502,0.652,9,1,0.0848,0.0,136.08,0.648,0.3,-7.224,angry
53,Backseat Freestyle,spotify:track:3aGibUHhQyBsyumYHylw0K,3aGibUHhQyBsyumYHylw0K,Kendrick Lamar,28,0.546,0.651,1,1,0.000739,0.0,77.878,0.646,0.3,-7.601,angry
54,F*ck Up Some Commas,spotify:track:49zD0wr2S3d0lZPib0K4e1,49zD0wr2S3d0lZPib0K4e1,Future,38,0.874,0.568,11,0,0.0698,1.38e-05,139.995,0.46,0.224,-5.896,angry
55,Bonfire,spotify:track:799f6Ih1Pu4AUApMyXhxUc,799f6Ih1Pu4AUApMyXhxUc,Childish Gambino,39,0.506,0.745,8,1,0.0594,0.0,161.808,0.311,0.331,-6.044,angry
56,Shabba (feat. A$AP Rocky),spotify:track:7eaKWfov7b2Qa2n6HTesL3,7eaKWfov7b2Qa2n6HTesL3,A$AP Ferg,26,0.869,0.712,9,1,0.0715,0.0,120.0,0.435,0.103,-6.136,angry
57,Love Sosa,spotify:track:4IowQDUOzUvNtp72HMDcKO,4IowQDUOzUvNtp72HMDcKO,Chief Keef,40,0.772,0.413,0,0,0.0361,0.0,131.965,0.211,0.089,-8.193,angry
58,Wild Boy,spotify:track:5jcMhhJ0gXhtruaFIBbL3t,5jcMhhJ0gXhtruaFIBbL3t,Machine Gun Kelly,41,0.801,0.682,10,0,0.0292,0.0,140.061,0.484,0.0498,-4.676,angry
59,Ultimate,spotify:track:6R0GRYk2vs2XuBVemYK5YZ,6R0GRYk2vs2XuBVemYK5YZ,Denzel Curry,42,0.493,0.826,9,1,0.095,3.42e-06,112.865,0.75,0.311,-3.106,angry
60,Dreams and Nightmares,spotify:track:42zd6DYQ4o4SECmTITrM1U,42zd6DYQ4o4SECmTITrM1U,Meek Mill,30,0.631,0.774,11,1,0.468,0.0,79.745,0.44,0.3,-2.459,angry
61,I Don't Fuck With You,spotify:track:7FYH5AW3bVfZHJIQpq3UOA,7FYH5AW3bVfZHJIQpq3UOA,Big Sean,0,0.824,0.733,1,1,0.0362,0.0,97.972,0.395,0.0613,-5.474,angry
62,Lord Pretty Flacko Jodye 2 (LPFJ2),spotify:track:1j6kDJttn6wbVyMaM42Nxm,1j6kDJttn6wbVyMaM42Nxm,A$AP Rocky,43,0.485,0.72,6,1,0.0123,0.0,207.982,0.0471,0.127,-5.991,angry
63,Till I Die,spotify:track:7rq7HvZrCie7MmiGm8pUVC,7rq7HvZrCie7MmiGm8pUVC,Machine Gun Kelly,41,0.865,0.633,0,0,0.0305,0.0,110.05,0.311,0.107,-7.023,angry
64,A Tale of 2 Citiez,spotify:track:7lL3MvFWFFSD25pBz72Agj,7lL3MvFWFFSD25pBz72Agj,J. Cole,44,0.559,0.556,6,1,0.553,0.0,189.861,0.362,0.531,-7.844,angry
65,Money Longer,spotify:track:0B8QzDH7YWih85V5SEMnyJ,0B8QzDH7YWih85V5SEMnyJ,Lil Uzi Vert,45,0.795,0.568,5,0,0.0541,0.0,136.173,0.478,0.142,-7.817,angry
66,WIN,spotify:track:69WMdZSqdQwFgLVpbMsZ2J,69WMdZSqdQwFgLVpbMsZ2J,Jay Rock,46,0.879,0.595,1,1,0.0152,0.0,125.994,0.355,0.0889,-2.936,angry
67,G.O.M.D.,spotify:track:16qYlQ6koFxYVbiJbGHblz,16qYlQ6koFxYVbiJbGHblz,J. Cole,44,0.89,0.393,4,0,0.331,8.81e-06,128.084,0.304,0.267,-10.821,angry
68,Look At Me!,spotify:track:7floNISpH8VF4z4459Qo18,7floNISpH8VF4z4459Qo18,XXXTENTACION,47,0.763,0.726,1,1,0.259,0.0,139.059,0.349,0.282,-6.405,angry
69,No Flockin',spotify:track:34oWbFBfGEElvgO0a5c9V4,34oWbFBfGEElvgO0a5c9V4,Kodak Black,48,0.943,0.595,5,0,0.0673,0.0,117.532,0.815,0.191,-8.372,angry
70,Faneto (feat. Tadoe),spotify:track:2r10Ycf6ULu4TAE26g2T0q,2r10Ycf6ULu4TAE26g2T0q,Chief Keef,40,0.849,0.755,1,0,0.346,0.0,144.186,0.393,0.363,-7.399,angry
71,Mo Bamba,spotify:track:1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,49,0.729,0.625,4,1,0.194,0.00986,146.034,0.261,0.0315,-5.266,angry
72,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,50,0.834,0.73,8,1,0.00513,0.0,155.008,0.446,0.222,-3.714,angry
73,Flexicution,spotify:track:2c8sgbZoEanC3QyFNZxUcA,2c8sgbZoEanC3QyFNZxUcA,Logic,51,0.782,0.713,0,0,0.0619,0.00125,159.839,0.68,0.0899,-6.576,angry
74,Red Opps,spotify:track:3cqZH3cqvfbV8wVbvHyPbG,3cqZH3cqvfbV8wVbvHyPbG,21 Savage,52,0.703,0.709,9,1,0.00908,0.0,140.998,0.569,0.402,-6.452,angry
75,Chill Bill (feat. J. Davi$ & Spooks),spotify:track:5uDASfU19gDxSjW8cnCaBp,5uDASfU19gDxSjW8cnCaBp,Rob $tone,53,0.886,0.427,6,1,0.0312,0.00099,108.034,0.23,0.145,-10.028,angry
76,Yamborghini High (feat. Juicy J),spotify:track:2rqUblDWJKlMVwh9uJc0Vv,2rqUblDWJKlMVwh9uJc0Vv,A$AP Mob,54,0.838,0.765,7,1,0.0283,1.5e-05,137.767,0.635,0.28,-6.299,angry
77,I Mean It (feat. Remo),spotify:track:6jmTHeoWvBaSrwWttr8Xvu,6jmTHeoWvBaSrwWttr8Xvu,G-Eazy,55,0.712,0.562,10,1,0.125,0.0,140.0,0.142,0.129,-6.008,angry
78,No Heart,spotify:track:4gmmRb6bZJffOOiww1JGTO,4gmmRb6bZJffOOiww1JGTO,21 Savage,52,0.906,0.444,4,0,0.136,6.44e-05,140.063,0.678,0.384,-8.692,angry
79,goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,50,0.841,0.728,7,1,0.0847,0.0,130.049,0.43,0.0484,-3.37,angry
80,Take A Step Back,spotify:track:2gQYziDV5cSTRSqr6akzi5,2gQYziDV5cSTRSqr6akzi5,Ski Mask The Slump God,56,0.8,0.591,6,1,0.111,0.0,117.003,0.747,0.271,-8.808,angry
81,Throw It Up,spotify:track:0RGEQZt56cK8cxr2QdG4Ih,0RGEQZt56cK8cxr2QdG4Ih,Lil Jon & The East Side Boyz,57,0.698,0.592,3,1,0.045,0.0,145.977,0.106,0.093,-3.197,angry
82,Trouble On My Mind,spotify:track:2ztyTz3H928W2bVb9qXBlB,2ztyTz3H928W2bVb9qXBlB,Pusha T,58,0.645,0.785,6,0,0.0705,0.000111,172.174,0.673,0.365,-6.016,angry
83,Many Men (Wish Death),spotify:track:2I9foKseoFQh07p6sD2voE,2I9foKseoFQh07p6sD2voE,50 Cent,59,0.653,0.826,6,0,0.0153,0.00146,108.52,0.416,0.354,-2.93,angry
84,How We Do,spotify:track:4PmMVdIFpJTB9WQbmILf4p,4PmMVdIFpJTB9WQbmILf4p,The Game,35,0.862,0.648,4,0,0.0455,0.0,98.012,0.637,0.251,-7.401,angry
85,Rack City,spotify:track:0srwKuJPH8yBzzFUJMBQM2,0srwKuJPH8yBzzFUJMBQM2,Tyga,60,0.929,0.339,1,1,0.0373,1.96e-05,98.986,0.273,0.371,-10.881,angry
86,What Up Gangsta,spotify:track:1CYyIsAaTrnmJ8MO2rec5f,1CYyIsAaTrnmJ8MO2rec5f,50 Cent,59,0.68,0.767,11,0,0.00213,0.0,82.518,0.344,0.0397,-2.387,angry
87,In Da Club,spotify:track:4RY96Asd9IefaL3X4LOLZ8,4RY96Asd9IefaL3X4LOLZ8,50 Cent,59,0.902,0.72,6,0,0.26,0.0,90.059,0.805,0.347,-2.776,angry
88,P.I.M.P.,spotify:track:2D1hlMwWWXpkc3CZJ5U351,2D1hlMwWWXpkc3CZJ5U351,50 Cent,59,0.7,0.758,10,0,0.0444,1.3e-05,78.693,0.889,0.342,-3.012,angry
89,"Wanksta - From ""8 Mile"" Soundtrack",spotify:track:6rpNe6gSkmiYW6BfSFATi5,6rpNe6gSkmiYW6BfSFATi5,50 Cent,59,0.806,0.867,1,1,0.02,0.0,81.033,0.904,0.157,-3.538,angry
90,"Lose Yourself - From ""8 Mile"" Soundtrack",spotify:track:5Z01UMMf7V1o0MzF86s6WJ,5Z01UMMf7V1o0MzF86s6WJ,Eminem,23,0.692,0.744,2,1,0.00868,0.000423,171.374,0.0612,0.257,-4.565,angry
91,Not Afraid,spotify:track:7Ie9W94M7OjPoZVV216Xus,7Ie9W94M7OjPoZVV216Xus,Eminem,23,0.855,0.954,0,0,0.529,0.0,114.635,0.668,0.264,-1.19,angry
92,Live Sheck Wes,spotify:track:1dhO5lyN2Otv4qR0xWQXH7,1dhO5lyN2Otv4qR0xWQXH7,Sheck Wes,49,0.781,0.617,0,1,0.000732,0.0467,139.973,0.506,0.252,-7.82,angry
93,Loud,spotify:track:4KRXcKUesQHKUkX6tHbF01,4KRXcKUesQHKUkX6tHbF01,Mac Miller,61,0.635,0.866,1,1,0.00411,1.08e-05,140.013,0.254,0.0402,-4.315,angry
94,Hard (feat. Tay-K and BlocBoy JB),spotify:track:32OkBQinMWqa7ZydEkHqVi,32OkBQinMWqa7ZydEkHqVi,No Jumper,62,0.886,0.542,1,1,0.113,0.0,83.519,0.314,0.338,-5.424,angry
95,YuNg BrAtZ,spotify:track:2ooF4088y5L72c4YTEJQoB,2ooF4088y5L72c4YTEJQoB,XXXTENTACION,47,0.755,0.695,9,1,0.0179,0.0,128.063,0.493,0.26,-5.963,angry
96,The Race,spotify:track:3wGXyJGsCf1myH5MooQIqE,3wGXyJGsCf1myH5MooQIqE,Tay-K,63,0.766,0.606,9,1,0.00266,0.0,160.223,0.352,0.456,-6.064,angry
97,I Just Want It All,spotify:track:6NHWP1FmqHgbHQap4Fyp2G,6NHWP1FmqHgbHQap4Fyp2G,Kid Ink,64,0.591,0.761,4,1,0.0179,0.0,132.354,0.611,0.092,-6.095,angry
98,Wow Freestyle (feat. Kendrick Lamar),spotify:track:0gV5B7zmJkS1aaH9APokrH,0gV5B7zmJkS1aaH9APokrH,Jay Rock,46,0.782,0.633,8,1,0.0355,0.0,150.055,0.749,0.341,-4.644,angry
